filename_base,grid_row,grid_col,ground_distance_m,expected_ground_distance_m,ground_abs_error,ground_abs_error_percent,euclidean_m,expected_euclidean_m,euclid_abs_error,euclid_abs_error_percent
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,1,4,3.058,2.899,0.1589999999999998,5.484649879268707,3.058,3.066,0.008000000000000007,0.26092628832354886
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,2,4,3.718,3.433,0.28500000000000014,8.30177687154093,3.721,3.576,0.14500000000000002,4.054809843400448
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,3,4,4.196,3.971,0.22499999999999964,5.6660790732812805,4.206,4.095,0.11100000000000065,2.7106227106227267
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,4,4,4.857,4.513,0.3440000000000003,7.62242410813207,4.881,4.622,0.25900000000000034,5.603634790134149
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,1,3,3.314,2.811,0.5030000000000001,17.893987904660268,3.314,2.984,0.33000000000000007,11.05898123324397
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,2,3,3.768,3.359,0.4089999999999998,12.176242929443282,3.77,3.505,0.2650000000000001,7.56062767475036
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,3,3,4.408,3.908,0.5000000000000004,12.794268167860809,4.419,4.034,0.3849999999999998,9.543877045116504
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,4,3,5.115,4.457,0.6580000000000004,14.763293695310756,5.139,4.568,0.5710000000000006,12.500000000000014
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,4,2,5.408,4.457,0.9510000000000005,21.337222346870107,5.433,4.568,0.8650000000000002,18.93607705779335
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,3,2,4.909,3.908,1.001,25.614124872057314,4.92,4.034,0.8860000000000001,21.963311849281116
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,2,2,4.256,3.359,0.8970000000000002,26.704376302470983,4.258,3.505,0.7530000000000001,21.48359486447932
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,1,2,3.523,2.811,0.7120000000000002,25.329064389896843,3.524,2.984,0.54,18.096514745308312
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,4,1,5.866,4.513,1.3529999999999998,29.980057611345,5.892,4.622,1.2700000000000005,27.47728256166163
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,3,1,5.08,3.971,1.109,27.927474187862,5.091,4.095,0.9960000000000004,24.322344322344335
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,1,4,3.89,3.384,0.5060000000000002,14.95271867612294,3.892,3.625,0.2669999999999999,7.365517241379307
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,2,4,4.611,3.922,0.6889999999999996,17.567567567567558,4.612,4.132,0.4800000000000004,11.616650532429826
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,3,4,5.422,4.463,0.9589999999999996,21.48778848308312,5.426,4.649,0.7770000000000001,16.71327167132717
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,1,3,4.252,3.309,0.9429999999999996,28.498035660320326,4.256,3.556,0.7000000000000002,19.685039370078744
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,2,3,4.831,3.858,0.9730000000000003,25.220321410057032,4.831,4.071,0.7600000000000007,18.66863178580203
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,3,3,5.591,4.407,1.1840000000000002,26.8663489902428,5.595,4.595,1.0,21.76278563656148
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,2,2,5.376,3.858,1.5180000000000002,39.34681181959565,5.376,4.071,1.3050000000000006,32.05600589535742
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,1,2,4.275,3.309,0.9660000000000002,29.19310970081596,4.279,3.556,0.7229999999999999,20.331833520809894
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,2,1,5.505,3.922,1.5829999999999997,40.36206017338092,5.505,4.132,1.3730000000000002,33.22846079380446
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,2,4,3.332,2.947,0.3849999999999998,13.064133016627071,3.357,3.325,0.03200000000000003,0.9624060150375948
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,3,4,3.995,3.482,0.5129999999999999,14.732912119471564,4.004,3.807,0.19699999999999962,5.174678224323605
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,4,4,4.767,4.021,0.7460000000000004,18.552598856005982,4.768,4.305,0.4630000000000001,10.754936120789782
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,1,3,2.976,2.314,0.6619999999999999,28.608470181503886,3.038,2.779,0.2589999999999999,9.31989924433249
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,2,3,3.669,2.861,0.8079999999999998,28.241873470814394,3.699,3.249,0.44999999999999973,13.850415512465366
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,3,3,4.291,3.409,0.8820000000000006,25.872689938398373,4.302,3.741,0.5609999999999995,14.995990376904558
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,4,3,4.957,3.958,0.9989999999999997,25.240020212228387,4.959,4.247,0.7119999999999997,16.76477513538968
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,4,2,5.407,3.958,1.4489999999999998,36.60939868620515,5.409,4.247,1.162,27.360489757475865
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,3,2,4.692,3.409,1.2830000000000004,37.635670284540936,4.704,3.741,0.9629999999999996,25.741780272654356
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,2,2,3.94,2.861,1.0789999999999997,37.71408598392169,3.971,3.249,0.722,22.22222222222222
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,1,2,3.163,2.314,0.8489999999999998,36.689714779602404,3.231,2.779,0.45199999999999996,16.264843468873693
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,4,1,5.731,4.021,1.71,42.5267346431236,5.733,4.305,1.428,33.170731707317074
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,3,1,5.083,3.482,1.601,45.97932222860425,5.095,3.807,1.2879999999999998,33.83241397425794
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,1,4,3.359,2.899,0.45999999999999996,15.86754053121766,3.388,3.282,0.10599999999999987,3.229737964655694
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,2,4,4.038,3.433,0.6050000000000004,17.6230702009904,4.048,3.763,0.28500000000000014,7.573744352909917
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,3,4,4.663,3.971,0.6920000000000002,17.426340972047345,4.665,4.26,0.40500000000000025,9.507042253521133
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,4,4,5.567,4.513,1.0540000000000003,23.35475293596278,5.568,4.768,0.7999999999999998,16.778523489932883
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,1,3,3.569,2.811,0.758,26.965492707221628,3.604,3.205,0.399,12.449297971918877
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,2,3,4.269,3.359,0.9100000000000001,27.091396248883598,4.282,3.695,0.5870000000000002,15.886332882273349
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,3,3,4.978,3.908,1.0699999999999998,27.37973387922211,4.981,4.2,0.7809999999999997,18.595238095238088
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,4,3,5.863,4.457,1.4060000000000006,31.54588288086158,5.863,4.716,1.1470000000000002,24.321458863443603
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,1,2,5.443,2.811,2.6319999999999997,93.63215937388829,5.446,3.205,2.2409999999999997,69.92199687987518
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,2,2,4.629,3.359,1.2699999999999996,37.80887168800237,4.643,3.695,0.948,25.656292286874155
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,3,2,3.93,3.908,0.02200000000000024,0.5629477993858812,3.97,4.2,0.22999999999999998,5.476190476190475
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,1,4,3.001,2.419,0.5819999999999999,24.059528730880523,3.004,2.846,0.15799999999999992,5.551651440618409
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,2,4,3.394,2.947,0.44700000000000006,15.167967424499492,3.42,3.307,0.11299999999999999,3.41699425461143
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,3,4,3.923,3.482,0.44099999999999984,12.665134979896605,3.988,3.791,0.19700000000000006,5.196518069111054
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,4,4,4.474,4.021,0.4530000000000003,11.26585426510819,4.594,4.291,0.30299999999999994,7.061291074341643
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,1,3,3.255,2.314,0.9409999999999998,40.66551426101987,3.259,2.757,0.5019999999999998,18.208197315923098
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,2,3,3.737,2.861,0.8759999999999999,30.618664802516598,3.765,3.23,0.5350000000000001,16.563467492260067
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,3,3,4.212,3.409,0.8029999999999999,23.555294807861543,4.281,3.725,0.5559999999999996,14.926174496644284
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,4,3,4.596,3.958,0.6379999999999999,16.119252147549265,4.716,4.233,0.48300000000000054,11.41034727143871
