filename,class,confidence,x_center,y_center,depth_m,euclidean_m,ground_distance_m,grid_row,grid_col
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.701901197,0.98125,0.515625,2.985,3.058,3.058,1,4
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.778742492,0.935416667,0.44140625,3.646,3.721,3.718,2,4
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.759449422,0.876041667,0.3890625,4.135,4.206,4.196,3,4
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.696720183,0.838541667,0.3421875,4.8,4.881,4.857,4,4
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.79619348,0.665625,0.51953125,3.305,3.314,3.314,1,3
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.775461972,0.648958333,0.446875,3.761,3.77,3.768,2,3
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.72408092,0.630208333,0.3921875,4.402,4.419,4.408,3,3
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.743685246,0.622916667,0.3484375,5.108,5.139,5.115,4,3
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.650063276,0.38125,0.34921875,5.397,5.433,5.408,4,2
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.721105158,0.380208333,0.3921875,4.899,4.92,4.909,3,2
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.752680004,0.369791667,0.4453125,4.245,4.258,4.256,2,2
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.744170487,0.344791667,0.52265625,3.512,3.524,3.523,1,2
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.729751587,0.171875,0.3515625,5.789,5.892,5.866,4,1
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.714735508,0.140625,0.39375,5.001,5.091,5.08,3,1
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,0,0.803295612,0.915625,0.55859375,3.821,3.892,3.89,1,4
