filename,class,confidence,x_center,y_center,depth_m,euclidean_m,ground_distance_m,grid_row,grid_col
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.701901197,0.98125,0.515625,3.042,3.117,3.116,1,4
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.778742492,0.935416667,0.44140625,3.806,3.884,3.881,2,4
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.759449422,0.876041667,0.3890625,4.245,4.318,4.308,3,4
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.696720183,0.838541667,0.3421875,5.054,5.139,5.114,4,4
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.79619348,0.665625,0.51953125,3.375,3.384,3.384,1,3
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.775461972,0.648958333,0.446875,3.947,3.957,3.955,2,3
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.72408092,0.630208333,0.3921875,4.66,4.678,4.667,3,3
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.743685246,0.622916667,0.3484375,5.427,5.46,5.435,4,3
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.650063276,0.38125,0.34921875,5.586,5.623,5.597,4,2
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.721105158,0.380208333,0.3921875,5.001,5.023,5.011,3,2
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.752680004,0.369791667,0.4453125,4.402,4.415,4.412,2,2
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.744170487,0.344791667,0.52265625,3.591,3.603,3.603,1,2
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.729751587,0.171875,0.3515625,5.97,6.076,6.049,4,1
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,0,0.714735508,0.140625,0.39375,5.108,5.2,5.189,3,1
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,0,0.803295612,0.915625,0.55859375,4.03,4.106,4.103,1,4
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,0,0.71172291,0.864583333,0.4921875,4.705,4.771,4.771,2,4
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,0,0.738573015,0.819791667,0.440625,5.49,5.551,5.547,3,4
