filename,grid_row,grid_col,horizontal_offset_m,depth_offset_m,expected_ground_distance_m,expected_euclidean_m
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,1,1,-0.75,2.8,2.899,3.066
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,1,2,-0.25,2.8,2.811,2.984
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,1,3,0.25,2.8,2.811,2.984
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,1,4,0.75,2.8,2.899,3.066
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,2,1,-0.75,3.35,3.433,3.576
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,2,2,-0.25,3.35,3.359,3.505
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,2,3,0.25,3.35,3.359,3.505
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,2,4,0.75,3.35,3.433,3.576
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,3,1,-0.75,3.9,3.971,4.095
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,3,2,-0.25,3.9,3.908,4.034
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,3,3,0.25,3.9,3.908,4.034
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,3,4,0.75,3.9,3.971,4.095
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,4,1,-0.75,4.45,4.513,4.622
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,4,2,-0.25,4.45,4.457,4.568
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,4,3,0.25,4.45,4.457,4.568
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,4,4,0.75,4.45,4.513,4.622
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,1,1,-0.75,3.3,3.384,3.625
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,1,2,-0.25,3.3,3.309,3.556
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,1,3,0.25,3.3,3.309,3.556
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,1,4,0.75,3.3,3.384,3.625
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,2,1,-0.75,3.85,3.922,4.132
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,2,2,-0.25,3.85,3.858,4.071
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,2,3,0.25,3.85,3.858,4.071
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,2,4,0.75,3.85,3.922,4.132
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,3,1,-0.75,4.4,4.463,4.649
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,3,2,-0.25,4.4,4.407,4.595
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,3,3,0.25,4.4,4.407,4.595
