filename,num_detections,t_detect,t_depth,t_distance,t_total,FPS
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,16,0.174,0.158,0.004,0.342,2.923976608
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,16,0.16,0.157,0.004,0.325,3.076923077
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,15,0.162,0.157,0.004,0.328,3.048780488
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,16,0.162,0.157,0.004,0.327,3.058103976
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,16,0.161,0.158,0.004,0.327,3.058103976
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,12,0.163,0.158,0.004,0.33,3.03030303
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,16,0.162,0.158,0.004,0.329,3.039513678
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,13,0.165,0.158,0.007,0.335,2.985074627
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,16,0.162,0.157,0.004,0.328,3.048780488
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,7,0.162,0.158,0.003,0.328,3.048780488
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,13,0.163,0.159,0.004,0.329,3.039513678
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,12,0.163,0.158,0.004,0.329,3.039513678
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,16,0.166,0.157,0.004,0.331,3.021148036
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,11,0.164,0.158,0.004,0.33,3.03030303
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,9,0.164,0.158,0.004,0.33,3.03030303
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,3,0.162,0.157,0.003,0.327,3.058103976
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,14,0.16,0.158,0.004,0.325,3.076923077
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,8,0.162,0.158,0.004,0.327,3.058103976
