filename,num_detections,t_detect,t_depth,t_distance,t_total,FPS
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,16,0.173,0.143,0.004,0.325,3.076923077
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,16,0.163,0.144,0.004,0.316,3.164556962
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,15,0.155,0.142,0.004,0.306,3.267973856
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,16,0.164,0.143,0.004,0.315,3.174603175
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,16,0.172,0.143,0.005,0.324,3.086419753
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,12,0.171,0.143,0.004,0.323,3.095975232
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,16,0.169,0.142,0.004,0.319,3.134796238
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,13,0.166,0.143,0.004,0.317,3.154574132
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,16,0.161,0.143,0.004,0.312,3.205128205
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,7,0.159,0.143,0.008,0.314,3.184713376
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,13,0.165,0.143,0.004,0.316,3.164556962
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,12,0.159,0.142,0.004,0.31,3.225806452
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,16,0.163,0.143,0.004,0.314,3.184713376
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,11,0.162,0.143,0.004,0.314,3.184713376
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,9,0.167,0.144,0.004,0.318,3.144654088
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,3,0.158,0.144,0.003,0.31,3.225806452
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,14,0.163,0.144,0.004,0.315,3.174603175
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,8,0.169,0.144,0.004,0.32,3.125
