filename,num_detections,t_detect,t_depth,t_distance,t_total,FPS
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,16,0.171,0.121,0.004,0.302,3.311258278
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,16,0.167,0.12,0.004,0.296,3.378378378
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,15,0.16,0.121,0.004,0.29,3.448275862
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,16,0.164,0.12,0.004,0.292,3.424657534
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,16,0.166,0.121,0.004,0.295,3.389830508
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,12,0.16,0.12,0.005,0.29,3.448275862
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,16,0.166,0.12,0.005,0.295,3.389830508
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,13,0.162,0.12,0.004,0.29,3.448275862
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,16,0.165,0.12,0.004,0.293,3.412969283
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,7,0.168,0.121,0.003,0.296,3.378378378
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,13,0.17,0.121,0.008,0.303,3.300330033
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,12,0.162,0.121,0.004,0.29,3.448275862
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,16,0.16,0.12,0.004,0.288,3.472222222
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,11,0.164,0.121,0.004,0.293,3.412969283
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,9,0.162,0.121,0.004,0.291,3.436426117
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,3,0.167,0.121,0.003,0.296,3.378378378
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,14,0.164,0.121,0.004,0.293,3.412969283
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,8,0.159,0.121,0.004,0.288,3.472222222
