filename,num_detections,t_detect,t_depth,t_distance,t_total,FPS
left_20deg_100cmgnd_250cmgrid_20250926_112239.jpg,16,0.174,0.092,0.004,0.275,3.636363636
left_20deg_130cmgnd_300cmgrid_20250926_111837.jpg,16,0.165,0.092,0.005,0.266,3.759398496
left_20deg_154cmgnd_200cmgrid_20250926_111455.jpg,15,0.166,0.092,0.005,0.268,3.731343284
left_20deg_154cmgnd_250cmgrid_20250926_111529.jpg,16,0.163,0.092,0.004,0.263,3.802281369
left_35deg_150cmgnd_200cmgrid_20250926_103550.jpg,16,0.161,0.094,0.004,0.264,3.787878788
left_35deg_160cmgnd_100cmgrid_20250926_102917.jpg,12,0.163,0.092,0.004,0.264,3.787878788
left_35deg_160cmgnd_200cmgrid_20250926_102751.jpg,16,0.142,0.092,0.004,0.242,4.132231405
left_35deg_185cmgnd_100cmgrid_20250926_103842.jpg,13,0.141,0.092,0.004,0.241,4.149377593
left_35deg_185cmgnd_200cmgrid_20250926_103708.jpg,16,0.141,0.095,0.004,0.244,4.098360656
left_40deg_150cmgnd_250cmgrid_20250926_111216.jpg,7,0.276,0.099,0.004,0.384,2.604166667
left_40deg_165cmgnd_200cmgrid_20250926_110746.jpg,13,0.213,0.093,0.004,0.316,3.164556962
left_40deg_185cmgnd_100cmgrid_20250926_110313.jpg,12,0.222,0.102,0.005,0.333,3.003003003
left_40deg_185cmgnd_200cmgrid_20250926_110526.jpg,16,0.219,0.096,0.004,0.324,3.086419753
left_45deg_150cmgnd_100cmgrid_20250926_105349.jpg,11,0.239,0.094,0.004,0.343,2.915451895
left_45deg_160cmgnd_150cmgrid_20250926_105635.jpg,9,0.362,0.093,0.004,0.463,2.159827214
left_45deg_160cmgnd_250cmgrid_20250926_105724.jpg,3,0.189,0.092,0.003,0.288,3.472222222
left_45deg_185cmgnd_150cmgrid_20250926_105905.jpg,14,0.174,0.092,0.004,0.275,3.636363636
left_45deg_185cmgnd_250cmgrid_20250926_105807.jpg,8,0.192,0.095,0.003,0.295,3.389830508
