image,conf,x1,y1,x2,y2
image_0005.jpg,0.942,206,239,239,283
image_0005.jpg,0.942,401,177,470,250
image_0005.jpg,0.89,266,91,339,163
image_0005.jpg,0.882,294,426,328,456
image_0005.jpg,0.88,298,350,383,390
image_0005.jpg,0.871,278,390,321,419
image_0006.jpg,0.956,331,72,387,125
image_0006.jpg,0.949,528,15,598,91
image_0006.jpg,0.948,363,352,416,408
image_0006.jpg,0.945,505,382,580,461
image_0006.jpg,0.942,269,262,359,346
image_0006.jpg,0.936,21,308,121,406
image_0006.jpg,0.919,356,111,444,195
image_0006.jpg,0.918,167,337,205,377
image_0006.jpg,0.916,441,231,494,270
image_0006.jpg,0.907,273,95,315,135
image_0006.jpg,0.901,516,326,585,401
image_0006.jpg,0.901,552,137,623,185
image_0006.jpg,0.872,402,165,475,212
image_0006.jpg,0.826,466,215,516,247
image_0006.jpg,0.62,448,219,510,260
image_0008.jpg,0.931,64,299,106,348
image_0008.jpg,0.926,543,38,628,118
image_0008.jpg,0.926,69,24,123,82
image_0008.jpg,0.921,79,204,133,243
image_0008.jpg,0.918,106,166,161,202
image_0008.jpg,0.916,496,47,575,119
image_0008.jpg,0.889,431,202,487,257
image_0008.jpg,0.828,415,161,509,202
image_0010.jpg,0.962,331,117,363,152
image_0010.jpg,0.941,60,168,148,252
image_0010.jpg,0.926,63,373,108,417
image_0010.jpg,0.894,223,199,259,236
image_0010.jpg,0.894,576,173,620,209
image_0010.jpg,0.89,485,72,550,134
image_0010.jpg,0.881,208,232,237,288
image_0010.jpg,0.754,238,140,273,180
image_0010.jpg,0.732,207,136,269,173
image_0010.jpg,0.585,245,145,294,177
image_0011.jpg,0.924,398,22,483,80
image_0011.jpg,0.922,389,84,476,166
image_0011.jpg,0.917,325,151,369,198
image_0011.jpg,0.915,240,175,308,239
image_0011.jpg,0.911,363,240,406,284
image_0011.jpg,0.88,511,79,567,121
image_0011.jpg,0.868,37,316,116,335
image_0011.jpg,0.816,448,54,490,81
image_0014.jpg,0.943,272,215,373,310
image_0014.jpg,0.934,158,182,213,211
image_0014.jpg,0.914,77,66,122,109
image_0014.jpg,0.907,519,412,564,454
image_0015.jpg,0.949,229,90,281,140
image_0015.jpg,0.933,445,358,503,417
image_0015.jpg,0.931,392,265,460,336
image_0015.jpg,0.93,265,314,317,370
image_0015.jpg,0.921,307,282,386,360
image_0015.jpg,0.914,493,388,540,434
image_0015.jpg,0.911,425,175,471,219
image_0015.jpg,0.911,166,31,207,69
image_0015.jpg,0.904,512,45,556,86
image_0015.jpg,0.904,130,119,175,162
image_0015.jpg,0.904,205,149,244,178
image_0015.jpg,0.887,205,258,260,301
image_0015.jpg,0.873,197,318,293,410
image_0015.jpg,0.839,83,253,133,287
image_0015.jpg,0.743,355,284,414,337
image_0015.jpg,0.741,199,295,249,340
image_0016.jpg,0.942,139,430,192,458
image_0016.jpg,0.922,417,324,465,356
image_0016.jpg,0.92,325,307,369,347
image_0016.jpg,0.901,334,194,379,223
image_0016.jpg,0.877,269,332,340,377
image_0016.jpg,0.876,247,322,289,360
image_0022.jpg,0.932,202,181,299,270
image_0022.jpg,0.924,136,407,185,434
image_0022.jpg,0.858,438,123,499,158
image_0022.jpg,0.844,415,120,470,158
image_0023.jpg,0.94,85,254,172,337
image_0023.jpg,0.937,498,231,554,282
image_0023.jpg,0.936,453,292,544,378
image_0023.jpg,0.883,352,160,442,197
image_0024.jpg,0.949,138,37,210,116
image_0024.jpg,0.941,230,319,318,403
image_0024.jpg,0.938,40,19,110,82
image_0024.jpg,0.929,454,240,492,277
image_0024.jpg,0.923,402,389,478,462
image_0024.jpg,0.916,330,287,375,340
image_0024.jpg,0.916,288,260,326,295
image_0024.jpg,0.837,280,132,325,165
image_0024.jpg,0.801,273,167,343,197
image_0029.jpg,0.943,344,97,379,152
image_0029.jpg,0.935,212,215,281,290
image_0029.jpg,0.932,309,178,348,231
image_0029.jpg,0.931,414,52,481,118
image_0029.jpg,0.925,164,82,251,164
image_0029.jpg,0.924,207,328,260,370
image_0029.jpg,0.913,482,252,545,306
image_0029.jpg,0.913,441,388,486,445
image_0029.jpg,0.89,493,374,533,413
image_0029.jpg,0.882,464,301,515,331
image_0029.jpg,0.842,527,226,625,261
image_0029.jpg,0.816,238,402,278,426
image_0031.jpg,0.939,267,18,342,91
image_0031.jpg,0.928,397,108,472,180
image_0031.jpg,0.925,211,271,300,298
image_0031.jpg,0.921,525,246,593,312
image_0031.jpg,0.921,116,260,158,304
image_0031.jpg,0.92,578,351,629,397
image_0031.jpg,0.913,567,192,611,233
image_0031.jpg,0.912,468,385,520,423
image_0031.jpg,0.906,442,312,512,377
image_0031.jpg,0.872,585,141,633,174
image_0031.jpg,0.853,174,307,241,347
image_0032.jpg,0.93,215,185,288,263
image_0032.jpg,0.93,213,269,242,312
image_0032.jpg,0.922,54,118,91,173
image_0032.jpg,0.911,487,165,585,206
image_0032.jpg,0.902,179,103,222,143
image_0032.jpg,0.893,91,373,126,430
image_0032.jpg,0.892,96,407,143,451
image_0032.jpg,0.884,397,240,443,282
image_0032.jpg,0.879,401,141,476,191
image_0032.jpg,0.861,164,133,205,170
image_0032.jpg,0.852,539,236,595,275
image_0032.jpg,0.849,298,201,386,248
image_0032.jpg,0.797,96,266,140,293
image_0032.jpg,0.534,366,255,423,281
image_0045.jpg,0.959,22,71,114,159
image_0045.jpg,0.938,433,112,480,163
image_0045.jpg,0.916,365,307,410,351
image_0045.jpg,0.912,142,94,183,134
image_0045.jpg,0.91,453,271,500,307
image_0045.jpg,0.904,579,139,624,183
image_0045.jpg,0.869,464,159,517,209
image_0045.jpg,0.733,126,138,170,157
image_0052.jpg,0.942,159,19,234,100
image_0052.jpg,0.934,56,69,117,131
image_0052.jpg,0.93,269,194,300,249
image_0052.jpg,0.93,276,55,371,144
image_0052.jpg,0.924,191,207,261,275
image_0052.jpg,0.923,436,165,507,232
