               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032539,            0.052841,                   0,             0.98653,             0.93911,               0.992,             0.46013,            0.038564,            0.044672,                   0,            0.070638,           0.0032624,           0.0032624
                   1,             0.03605,             0.05453,                   0,             0.97472,             0.98848,             0.99449,             0.38532,            0.047169,            0.044266,                   0,            0.040475,           0.0064325,           0.0064325
                   2,            0.039966,            0.056513,                   0,             0.80831,              0.9359,             0.90195,             0.44105,            0.041878,            0.042313,                   0,            0.010147,           0.0094376,           0.0094376
                   3,            0.039556,            0.059178,                   0,             0.93248,             0.97377,              0.9606,              0.3819,            0.043766,            0.041505,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,            0.040217,            0.053534,                   0,             0.98628,                   1,             0.99449,             0.46801,            0.037599,             0.04222,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,            0.037383,             0.05516,                   0,             0.96171,              0.9659,              0.9853,             0.51064,             0.03602,            0.041287,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.037157,            0.053696,                   0,             0.98068,             0.97637,             0.97906,             0.49487,             0.03742,            0.042524,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.034901,            0.053527,                   0,             0.98436,             0.96795,             0.98857,             0.41013,            0.037943,             0.04143,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.035141,            0.052484,                   0,             0.95243,             0.99359,             0.98215,             0.50606,            0.033019,            0.040781,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.033794,             0.04935,                   0,             0.99359,             0.99324,             0.99417,             0.57101,            0.032717,            0.039667,                   0,             0.00802,             0.00802,             0.00802
                  10,            0.032214,            0.052514,                   0,              0.9829,             0.98077,             0.98297,             0.55435,            0.037809,            0.041558,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,            0.032165,            0.052307,                   0,             0.99358,             0.99186,             0.99468,             0.54265,             0.03263,            0.040997,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.029693,            0.050393,                   0,                   1,             0.99811,               0.995,             0.55977,            0.030976,             0.03938,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.031108,            0.047915,                   0,             0.98033,             0.98718,             0.98403,             0.58179,            0.030834,            0.040043,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.029971,            0.048124,                   0,             0.97463,             0.98718,             0.98402,             0.53567,            0.034125,            0.040434,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,            0.028901,            0.047201,                   0,             0.98551,             0.99359,             0.99263,             0.57047,            0.031849,            0.039066,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.028614,            0.048112,                   0,             0.99344,                   1,               0.995,             0.58927,             0.02997,            0.038549,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,            0.027417,             0.04764,                   0,             0.99171,                   1,               0.995,             0.55964,            0.031474,            0.039885,                   0,             0.00604,             0.00604,             0.00604
                  18,             0.02743,            0.046835,                   0,             0.98663,             0.99359,             0.99442,             0.59206,             0.02943,            0.038223,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,            0.026143,            0.045681,                   0,             0.99291,                   1,               0.995,             0.59947,            0.030396,            0.038418,                   0,            0.005545,            0.005545,            0.005545
                  20,            0.024647,            0.044602,                   0,             0.99296,             0.99359,             0.99417,              0.5936,            0.032066,            0.039313,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,            0.025979,            0.044826,                   0,             0.99056,             0.99359,             0.99397,             0.52684,             0.03742,            0.041142,                   0,             0.00505,             0.00505,             0.00505
                  22,            0.025142,            0.042701,                   0,             0.99123,             0.99359,             0.99385,             0.62514,            0.027341,            0.037727,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,            0.025085,            0.044067,                   0,             0.99157,             0.99359,             0.99365,             0.54696,            0.032509,            0.039704,                   0,            0.004555,            0.004555,            0.004555
                  24,            0.024268,            0.043335,                   0,             0.99101,             0.99359,              0.9941,             0.57784,            0.030667,            0.038578,                   0,           0.0043075,           0.0043075,           0.0043075
                  25,            0.023977,            0.043322,                   0,             0.98986,             0.99359,             0.99378,             0.58551,            0.030864,            0.038621,                   0,             0.00406,             0.00406,             0.00406
                  26,            0.023173,             0.04153,                   0,             0.99091,             0.99359,             0.99385,             0.61738,            0.027158,            0.037903,                   0,           0.0038125,           0.0038125,           0.0038125
                  27,            0.022976,            0.039691,                   0,             0.99359,             0.99301,             0.99378,             0.59132,            0.029386,            0.038276,                   0,            0.003565,            0.003565,            0.003565
                  28,            0.022743,            0.042738,                   0,                   1,             0.99864,               0.995,             0.61776,            0.027144,             0.03744,                   0,           0.0033175,           0.0033175,           0.0033175
                  29,            0.022409,            0.041318,                   0,             0.99554,                   1,               0.995,             0.60508,            0.027863,            0.037565,                   0,             0.00307,             0.00307,             0.00307
                  30,            0.021625,            0.040354,                   0,             0.99773,                   1,               0.995,              0.6044,             0.02721,            0.037643,                   0,           0.0028225,           0.0028225,           0.0028225
                  31,            0.021124,             0.03968,                   0,             0.99714,                   1,               0.995,             0.60702,            0.027216,             0.03754,                   0,            0.002575,            0.002575,            0.002575
                  32,            0.021138,            0.039898,                   0,             0.99721,                   1,               0.995,             0.59478,            0.028691,            0.038075,                   0,           0.0023275,           0.0023275,           0.0023275
                  33,            0.020427,            0.039181,                   0,             0.99778,                   1,               0.995,             0.61365,            0.027484,            0.037713,                   0,             0.00208,             0.00208,             0.00208
                  34,            0.020174,            0.038979,                   0,             0.99063,             0.99359,             0.99423,             0.59022,            0.028546,            0.037971,                   0,           0.0018325,           0.0018325,           0.0018325
                  35,            0.020043,            0.038139,                   0,             0.98993,             0.99359,             0.99436,             0.57696,            0.028898,            0.038387,                   0,            0.001585,            0.001585,            0.001585
                  36,            0.019966,            0.039212,                   0,             0.99871,                   1,               0.995,             0.59161,            0.028337,            0.038159,                   0,           0.0013375,           0.0013375,           0.0013375
                  37,            0.019217,            0.036809,                   0,             0.99778,                   1,               0.995,             0.61215,            0.027703,            0.037618,                   0,             0.00109,             0.00109,             0.00109
