               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10797,            0.084023,                   0,             0.24742,             0.77562,             0.38996,            0.097967,             0.10469,             0.11714,                   0,            0.070682,           0.0032576,           0.0032576
                   1,            0.077749,            0.069558,                   0,             0.15984,             0.75309,             0.15354,            0.044246,            0.083049,            0.056781,                   0,            0.040617,           0.0065257,           0.0065257
                   2,            0.076403,            0.070315,                   0,             0.26385,              0.7639,             0.37615,            0.096232,            0.073782,            0.051864,                   0,            0.010485,           0.0097277,           0.0097277
                   3,            0.069369,            0.065953,                   0,             0.69734,             0.77461,             0.80107,             0.39485,            0.056291,            0.057072,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.057854,            0.062874,                   0,             0.78295,             0.83115,             0.85463,             0.32956,            0.047458,            0.045839,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.049754,            0.066183,                   0,             0.68227,             0.81949,             0.80101,             0.33004,            0.046114,            0.050144,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.04663,            0.061958,                   0,             0.84373,             0.86614,             0.90279,             0.40464,            0.039435,            0.042691,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.045235,            0.058602,                   0,             0.88154,             0.90221,             0.93889,             0.58309,            0.036979,            0.042568,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.040647,            0.057789,                   0,               0.945,             0.91427,             0.94502,             0.47257,            0.037618,            0.045261,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.040798,            0.055767,                   0,             0.92649,              0.9357,              0.9525,              0.4605,            0.034532,            0.041172,                   0,            0.009208,            0.009208,            0.009208
